,circular,ratio_a,ratio_b,ratio_pitch,ratio_top_diameter,ratio_shear_modulus,n_longerons,n_storeys,twist_angle,twist_rate_total,ratio_brace_height,ratio_a_lig,ratio_b_lig,chirality_offset
237,12.0,0.0076974996437486,0.0077052048485972,0.4446039946109757,0.4272540452728733,0.3677,3.0,1.0,0.0,0.2793653493929559,,,,
238,12.0,0.0078221869099669,0.0078300169268937,0.522518850765458,0.3543217132644467,0.3677,3.0,1.0,0.0,0.6904007266319804,,,,
239,12.0,0.0051430210911406,0.005148169260401,0.2872274762016773,0.4986588303744793,0.3677,3.0,1.0,0.0,0.4512318875084383,,,,
240,12.0,0.0066118358779041,0.0066184543322363,0.465999888734055,0.1207951056249723,0.3677,3.0,1.0,0.0,2.083775711993641,,,,
241,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2971347169950604,0.0054647146370261,0.0264580911844968,0.2271955305710435
242,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.8237123761326074,0.0045546839907765,0.0051219229325652,-0.0517961505800485
243,12.0,0.0066297321002698,0.0066363684687385,0.4589657476644039,0.1207951056249723,0.3677,3.0,1.0,0.0,2.083775711993641,,,,
244,12.0,0.0066285777911454,0.0066352130041496,0.4671798529454676,0.1266384310529127,0.3677,3.0,1.0,0.0,2.1050338842551537,,,,
245,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2825618680566549,0.001900902560912,0.012045370362699,0.2056584125384687
246,12.0,0.0089243641587066,0.0089332974561627,0.5283681425016444,0.4116526827606482,0.3677,3.0,1.0,0.0,0.8102458250331721,,,,
247,12.0,0.0041497000588864,0.0041538539127992,0.25,0.2298964784156645,0.3677,3.0,1.0,0.0,0.0714285578706515,,,,
248,12.0,0.0066238935197275,0.0066305240437713,0.4668497071281992,0.1332951056249723,0.3677,3.0,1.0,0.0,2.1136015343373087,,,,
249,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.5068185709416866,0.0180048310207203,0.0126759824939072,0.2909245211631059
250,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.5208101172931492,0.0015375401666387,0.0128531904518604,0.2469968151301145
251,12.0,0.0066372113107121,0.0066438551658779,0.4594835214387666,0.1268165014528141,0.3677,3.0,1.0,0.0,2.1106741525939787,,,,
252,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.5485429615713656,0.0034138749241828,0.0027855497039854,0.2445105163380503
253,12.0,0.0066494998065271,0.0066561559624896,0.4591200238399525,0.1145451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
254,12.0,0.0113262992997363,0.011337636936673,0.6325190634651147,0.504094131141901,0.3677,3.0,1.0,0.0,0.2234487480117219,,,,
255,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.6554657043889165,0.0040107978200539,0.0213750093802809,-0.2875650135800242
256,12.0,0.0068721569181086,0.0068790359540627,0.4744935619032368,0.1145451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
257,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.0842609822750091,0.0044783679433166,0.0058201811797916,-0.0167094536125659
258,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.7697542156092823,0.0068849313994869,0.0032393743954598,-0.2110912308096885
259,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.7048345080576837,0.0126844390863552,0.018534648194909,0.0609647965058684
260,12.0,0.0068721569181086,0.0068790359540627,0.4744935619032368,0.1270451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
261,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2435241565108299,0.006891826624982,0.0149882320947945,0.2129572927951812
262,12.0,0.0092015319432541,0.00921074268594,0.629543258516661,0.2570437994213732,0.3677,3.0,1.0,0.0,0.2232547900641917,,,,
263,12.0,0.0068721569181086,0.0068790359540627,0.4744935619032368,0.1145451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
264,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.7951669775880873,0.0034689850406721,0.0040774282217025,0.0385322168469429
265,12.0,0.0068721569181086,0.0068790359540627,0.4744935619032368,0.1270451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
266,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2452668748795985,0.0134425269514322,0.0084375663474202,0.269616768322885
267,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.0736250185407698,0.0138125667795538,0.0210305744223296,0.0562962217256426
268,12.0,0.0097341693492357,0.0097439132624982,0.669993678419932,0.2614558847520289,0.3677,3.0,1.0,0.0,0.4874612459014791,,,,
269,12.0,0.0067942546331812,0.00680105568887,0.4744935619032368,0.1145451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
270,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.0979120330885052,0.0086339120846241,0.0045149267613887,-0.2064362732693553
271,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.7311779093928635,0.017336997709237,0.0028475787490606,-0.0234593627974391
272,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.8460060986690223,0.0019887197874486,0.0237910894565284,-0.0228061722591519
273,12.0,0.0066508926038815,0.0066575501540356,0.459216190645453,0.1270451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
274,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.3786347677931189,0.0052755956109613,0.0274979846291244,-0.1533520393073559
275,12.0,0.0068192281829217,0.0068260542371588,0.4744935619032368,0.1210329022840749,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
276,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.0775250460021197,0.0194029121855273,0.0226009719409048,0.2396944519132375
277,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.5090401700697839,0.0104440720500424,0.026261254992336,0.1600060656666755
278,12.0,0.0094307198714909,0.0094401600315224,0.5905516691783348,0.4507697729476734,0.3677,3.0,1.0,0.0,0.4885743613647483,,,,
279,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.3912182248197495,0.0096833053193986,0.0106729599200189,-0.1526592364534735
280,12.0,0.0067297299471872,0.0067364664136008,0.4646595779664748,0.1186029707304608,0.3677,3.0,1.0,0.0,2.107132377521927,,,,
281,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.8068289625458419,0.0089467484094202,0.028700478747487,-0.0049383094534277
282,12.0,0.0065145198891119,0.0065210409300419,0.4579515288216307,0.1145451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
283,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.3577400276437401,0.0148560175653547,0.0270128226205706,-0.030423148535192
284,12.0,0.0101637115686871,0.0101738854541412,0.649257734578942,0.4804243563882152,0.3677,3.0,1.0,0.0,0.487026370269551,,,,
285,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.231575075443834,0.0171968204192817,0.0189306381754577,-0.2736594367772341
286,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.1105113696306943,0.010241509928368,0.0129895105361938,-0.0091247085481881
287,12.0,0.0067498360672099,0.0067565926598698,0.4744935619032368,0.1270451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
288,12.0,0.0068473521884432,0.006854206394838,0.4744935619032368,0.1270451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
289,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2989558002911507,0.0115133358705788,0.0270009630210697,-0.1881305845454335
290,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.5013525265268981,0.0044668497061356,0.0029829200319945,-0.2460390362888574
291,12.0,0.0089967641157412,0.0090057698856268,0.5491732048006762,0.4688297269693924,0.3677,3.0,1.0,0.0,0.6650063847000689,,,,
292,12.0,0.0066644472182591,0.0066711183365957,0.4647283488779636,0.1145451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
293,12.0,0.0066498750374781,0.0066565315690472,0.467466596421902,0.1145451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
294,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.0852301213890314,0.0082304567042738,0.0274725762382149,-0.1129968971014022
295,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.917842137813568,0.0109720890875905,0.0088107996582984,-0.0421058239415287
296,12.0,0.0094314280732571,0.0094408689421993,0.5284231130384508,0.4436069502895258,0.3677,3.0,1.0,0.0,0.3578300304996633,,,,
297,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.6304761555977165,0.0169586692880839,0.0127736181877553,0.0107719391584396
298,12.0,0.0104807264249826,0.0104912176426253,0.6026665555418841,0.1840941311419009,0.3677,3.0,1.0,0.0,0.2233337288411252,,,,
299,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.4939035786315798,0.0059169542845338,0.0246533134579658,0.1507664646953344
300,12.0,0.0066662264625069,0.0066728993618687,0.4602749291584916,0.1145451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
301,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.5308303573168814,0.0133477199366316,0.0089782129526138,0.1207708921283483
302,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.6171421318314969,0.0150861067604273,0.0036978399381041,-0.1524561211466789
303,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.1179706649854779,0.0173602240700274,0.0291332467831671,-0.1731305960565805
304,12.0,0.0064719972380404,0.0064784757137541,0.4549623119032368,0.1145451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
305,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.850413129851222,0.0139735769694671,0.0201793974861502,0.0874712945893406
306,12.0,0.0080095664914307,0.0080175840755062,0.6192781892692827,0.2716163453057228,0.3677,3.0,1.0,0.0,0.3524680650217641,,,,
307,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.411736421380192,0.0063146634018048,0.0198709119334816,0.1540308242663741
308,12.0,0.0065892830804354,0.0065958789593948,0.4549623119032368,0.1145451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
309,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.810171309299767,0.0091988687831908,0.0040721879899501,0.2877845535054803
310,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.6629578400403261,0.0166085593951866,0.0153902541883289,-0.1481083190068602
311,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.8613202758133411,0.0143179431650787,0.0297721925079822,0.0287474736571312
312,12.0,0.006641275347201,0.0066479232704714,0.4668620635665467,0.1145451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
313,12.0,0.0092974334463622,0.0093067401865488,0.6530120337546591,0.2537209806073393,0.3677,3.0,1.0,0.0,0.3452368650881015,,,,
314,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.3555042438209056,0.0086041741110384,0.0100239086933434,-0.1138873105868697
315,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.108537666965276,0.0067494659861549,0.0209097131937742,-0.0315967032685876
316,12.0,0.0066743202513496,0.0066810012526022,0.4643058134646373,0.1145451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
